seed,scenario_family,decision_date,budget,latency_days,theta,high_risk_threshold,top_share,base_policy_value,base_stale_regret,base_relative_loss,base_target_overlap,base_missed_at_risk,base_window_miss_rate,partial_reopt_policy_value,partial_reopt_stale_regret,partial_reopt_regret_recovery_ratio,partial_reopt_full_refresh_value_ratio,partial_reopt_optimization_call_ratio
41,promotion-heavy,2025-03-26,7250000,1,0.05,0.8,0.15,117344962.943866,-1045299.361987,-0.008988,0.842707,0.233711,0.0,115267294.099109,1032369.48277,-1.98763,0.991123,0.173001
41,promotion-heavy,2025-03-26,7250000,1,0.1,0.8,0.15,117344962.943866,-1045299.361987,-0.008988,0.842707,0.233711,0.0,116347221.240463,-47557.658584,-0.954503,1.000409,0.089996
41,promotion-heavy,2025-03-26,7250000,1,0.15,0.8,0.15,117344962.943866,-1045299.361987,-0.008988,0.842707,0.233711,0.0,116884627.629998,-584964.048119,-0.440386,1.00503,0.049367
41,promotion-heavy,2025-03-26,11530000,1,0.05,0.8,0.15,134888467.378547,-559170.186962,-0.004163,0.884577,0.123243,0.0,134111714.80534,217582.386245,-1.389117,0.99838,0.173001
41,promotion-heavy,2025-03-26,11530000,1,0.1,0.8,0.15,134888467.378547,-559170.186962,-0.004163,0.884577,0.123243,0.0,134607510.818276,-278213.626691,-0.502453,1.002071,0.089996
41,promotion-heavy,2025-03-26,11530000,1,0.15,0.8,0.15,134888467.378547,-559170.186962,-0.004163,0.884577,0.123243,0.0,134728897.9905,-399600.798915,-0.285368,1.002975,0.049367
41,promotion-heavy,2025-03-26,2640000,3,0.05,0.8,0.15,59507625.961263,-2052653.228282,-0.035726,0.881356,0.152091,0.005988,57230503.999251,224468.73373,-1.109355,0.996093,0.145697
41,promotion-heavy,2025-03-26,2640000,3,0.1,0.8,0.15,59507625.961263,-2052653.228282,-0.035726,0.881356,0.152091,0.005988,57660421.44921,-205448.716229,-0.899911,1.003576,0.075579
41,promotion-heavy,2025-03-26,2640000,3,0.15,0.8,0.15,59507625.961263,-2052653.228282,-0.035726,0.881356,0.152091,0.005988,58597362.770536,-1142390.037555,-0.443457,1.019883,0.044124
41,promotion-heavy,2025-03-26,7250000,3,0.05,0.8,0.15,115829650.059401,470013.522478,0.004041,0.845343,0.21813,0.001795,114495682.332255,1803981.249624,-2.838148,0.984489,0.145697
41,promotion-heavy,2025-03-26,7250000,3,0.1,0.8,0.15,115829650.059401,470013.522478,0.004041,0.845343,0.21813,0.001795,115267618.952033,1032044.629846,-1.195776,0.991126,0.075579
41,promotion-heavy,2025-03-26,7250000,3,0.15,0.8,0.15,115829650.059401,470013.522478,0.004041,0.845343,0.21813,0.001795,115511268.136328,788395.445551,-0.677389,0.993221,0.044124
41,promotion-heavy,2025-03-26,11530000,3,0.05,0.8,0.15,133617364.957707,711932.233878,0.0053,0.875622,0.115676,0.000986,132836216.094239,1493081.097346,-1.097224,0.988885,0.145697
41,promotion-heavy,2025-03-26,11530000,3,0.1,0.8,0.15,133617364.957707,711932.233878,0.0053,0.875622,0.115676,0.000986,133369181.783501,960115.408084,-0.348605,0.992853,0.075579
41,promotion-heavy,2025-03-26,11530000,3,0.15,0.8,0.15,133617364.957707,711932.233878,0.0053,0.875622,0.115676,0.000986,133569538.702214,759758.489371,-0.067178,0.994344,0.044124
41,promotion-heavy,2025-03-26,2640000,7,0.05,0.8,0.15,57879334.353987,-424361.621006,-0.007386,0.870056,0.148289,0.070122,55987064.668927,1467908.064054,-4.459097,0.974451,0.135867
41,promotion-heavy,2025-03-26,2640000,7,0.1,0.8,0.15,57879334.353987,-424361.621006,-0.007386,0.870056,0.148289,0.070122,57009025.125782,445947.607199,-2.050867,0.992238,0.069244
41,promotion-heavy,2025-03-26,2640000,7,0.15,0.8,0.15,57879334.353987,-424361.621006,-0.007386,0.870056,0.148289,0.070122,57249038.833633,205933.899348,-1.485279,0.996416,0.044779
41,promotion-heavy,2025-03-26,7250000,7,0.05,0.8,0.15,115833995.168123,465668.413756,0.004004,0.836555,0.228045,0.020444,114984073.089133,1315590.492746,-1.825166,0.988688,0.135867
41,promotion-heavy,2025-03-26,7250000,7,0.1,0.8,0.15,115833995.168123,465668.413756,0.004004,0.836555,0.228045,0.020444,115451793.772771,847869.809108,-0.820759,0.99271,0.069244
41,promotion-heavy,2025-03-26,7250000,7,0.15,0.8,0.15,115833995.168123,465668.413756,0.004004,0.836555,0.228045,0.020444,115558079.025836,741584.556043,-0.592516,0.993624,0.044779
